review,rating,date,bank,source
good,5,2025-09-03,Commercial Bank of Ethiopia,Google Play
my account is not working,4,2025-09-03,Commercial Bank of Ethiopia,Google Play
the recent update is not optimized fir latest version of android,2,2025-09-02,Commercial Bank of Ethiopia,Google Play
topp,5,2025-09-02,Commercial Bank of Ethiopia,Google Play
very good,5,2025-09-01,Commercial Bank of Ethiopia,Google Play
i appreciate it,5,2025-09-01,Commercial Bank of Ethiopia,Google Play
v.good app,5,2025-09-01,Commercial Bank of Ethiopia,Google Play
nice,4,2025-08-31,Commercial Bank of Ethiopia,Google Play
sahib amin jamal,1,2025-08-31,Commercial Bank of Ethiopia,Google Play
installi,5,2025-08-31,Commercial Bank of Ethiopia,Google Play
good,5,2025-08-30,Commercial Bank of Ethiopia,Google Play
very good apps,5,2025-08-30,Commercial Bank of Ethiopia,Google Play
,1,2025-08-30,Commercial Bank of Ethiopia,Google Play
the app say it is not compatible with ur phone can u fix it it is not updating.,1,2025-08-30,Commercial Bank of Ethiopia,Google Play
"i would like to give you some feedback on current update, its very nice and easy to use but in some button there is still not improved for example while iwant to check my recent txn it not well sequenced and arranged or some txn may not appear ... becouse of this i see many of users of this app discomferted maily merchants and those make high txn daily. improve and miximize the txn shown to 300 up to 500. make searchable recent txn button! all in all the bank i relly on! cbe my bank !",5,2025-08-29,Commercial Bank of Ethiopia,Google Play
tinishu titiba,5,2025-08-29,Commercial Bank of Ethiopia,Google Play
"essy to use ,has great interface and user friendly g",5,2025-08-29,Commercial Bank of Ethiopia,Google Play
yuuuuu,5,2025-08-29,Commercial Bank of Ethiopia,Google Play
i found it very much friendly,5,2025-08-29,Commercial Bank of Ethiopia,Google Play
"very useful app, while we use cbe.",5,2025-08-28,Commercial Bank of Ethiopia,Google Play
woooow,5,2025-08-28,Commercial Bank of Ethiopia,Google Play
redmi,1,2025-08-28,Commercial Bank of Ethiopia,Google Play
,5,2025-08-28,Commercial Bank of Ethiopia,Google Play
kamil aweil,5,2025-08-28,Commercial Bank of Ethiopia,Google Play
nice,3,2025-08-28,Commercial Bank of Ethiopia,Google Play
in your next update can you come with night mode future,5,2025-08-27,Commercial Bank of Ethiopia,Google Play
"truly, super competitive when compared to a well known app nowadays functioning broadly by simplest features and means namely known as telebirr super app, thus, cbe is my top ultimate choice that i prefer over the other bank due to its beautiful power of lead as a result i could recommend cbe to others because of its service provision via ethical principles and practice for customers satisfaction with existence of constraints and challenges face from burglary and froudalent hacker. thank you !",5,2025-08-27,Commercial Bank of Ethiopia,Google Play
mayreba app you its better if you use other banks,1,2025-08-27,Commercial Bank of Ethiopia,Google Play
not prefect transfer to other bank the mony not deliverd imidetliy take three or five days,1,2025-08-27,Commercial Bank of Ethiopia,Google Play
good app,5,2025-08-27,Commercial Bank of Ethiopia,Google Play
let us know before you shut down the app,4,2025-08-27,Commercial Bank of Ethiopia,Google Play
excited,5,2025-08-27,Commercial Bank of Ethiopia,Google Play
amizing,5,2025-08-26,Commercial Bank of Ethiopia,Google Play
love it,5,2025-08-26,Commercial Bank of Ethiopia,Google Play
yes it is v good,5,2025-08-26,Commercial Bank of Ethiopia,Google Play
a great update in the mobile banking application. thanks for the system and customization department,5,2025-08-26,Commercial Bank of Ethiopia,Google Play
this app is smart.,5,2025-08-26,Commercial Bank of Ethiopia,Google Play
i am happy,5,2025-08-26,Commercial Bank of Ethiopia,Google Play
good,5,2025-08-26,Commercial Bank of Ethiopia,Google Play
still i have not face critical problems sometimes delay to open,4,2025-08-26,Commercial Bank of Ethiopia,Google Play
excellent,5,2025-08-26,Commercial Bank of Ethiopia,Google Play
,5,2025-08-25,Commercial Bank of Ethiopia,Google Play
the connection between bank and the app is lag relationship this must be corrected.,4,2025-08-25,Commercial Bank of Ethiopia,Google Play
i have forgotten mobail banking password,5,2025-08-25,Commercial Bank of Ethiopia,Google Play
nice app,5,2025-08-25,Commercial Bank of Ethiopia,Google Play
thank you,5,2025-08-25,Commercial Bank of Ethiopia,Google Play
muktaar abraahim,5,2025-08-25,Commercial Bank of Ethiopia,Google Play
good one,5,2025-08-24,Commercial Bank of Ethiopia,Google Play
why does it say change pin to 6 digits is that right?,4,2025-08-24,Commercial Bank of Ethiopia,Google Play
one of the worst mobile banking apps in ethiopia. you can t access your txn record for more than 2 weeks.,1,2025-08-24,Commercial Bank of Ethiopia,Google Play
i like it and aprshat.,4,2025-08-23,Commercial Bank of Ethiopia,Google Play
good,4,2025-08-23,Commercial Bank of Ethiopia,Google Play
"the app has some issues i updated recently and now i am not able to send funds to my telebirr wallet, also we need to have a place we save our contacts where we usually send money to, after update i keep loosing all the important accounts.",4,2025-08-23,Commercial Bank of Ethiopia,Google Play
best app and easy to use,5,2025-08-23,Commercial Bank of Ethiopia,Google Play
doesn t work unless with data doesn t refresh fast other wise functions ok but after the update transferring to telebirr is not working,2,2025-08-23,Commercial Bank of Ethiopia,Google Play
list of transactions can t load over months and years..,1,2025-08-23,Commercial Bank of Ethiopia,Google Play
transferring money to telebirr is not working,1,2025-08-23,Commercial Bank of Ethiopia,Google Play
i don t like this app and there service fee is highl,5,2025-08-23,Commercial Bank of Ethiopia,Google Play
update . update save .,2,2025-08-23,Commercial Bank of Ethiopia,Google Play
this application do not show over all transaction history,3,2025-08-23,Commercial Bank of Ethiopia,Google Play
this app is very nice but statment history is very shiort atlist add 15 days,4,2025-08-23,Commercial Bank of Ethiopia,Google Play
"this app stooped working after i updated it. it says change password and i did, but it doesn t open with the new password. i don t like it.",1,2025-08-23,Commercial Bank of Ethiopia,Google Play
best and secured application,5,2025-08-23,Commercial Bank of Ethiopia,Google Play
,5,2025-11-29,Bank of Abyssinia,Google Play
very good,5,2025-11-28,Bank of Abyssinia,Google Play
goof,5,2025-11-28,Bank of Abyssinia,Google Play
good!,5,2025-11-28,Bank of Abyssinia,Google Play
good jop,5,2025-11-27,Bank of Abyssinia,Google Play
bad exprience...it is so crushed,1,2025-11-27,Bank of Abyssinia,Google Play
not user friendly at all it requires a huge connectivity and also lags many times,1,2025-11-26,Bank of Abyssinia,Google Play
,1,2025-11-26,Bank of Abyssinia,Google Play
very good,5,2025-11-25,Bank of Abyssinia,Google Play
most of the time is not working properly,1,2025-11-25,Bank of Abyssinia,Google Play
good service,5,2025-11-25,Bank of Abyssinia,Google Play
not use for me,3,2025-11-23,Bank of Abyssinia,Google Play
it keeps notifying me to disable developer options and quiet while i m not enabled. always bring another type of problem with new updates.,1,2025-11-22,Bank of Abyssinia,Google Play
waw,5,2025-11-21,Bank of Abyssinia,Google Play
the lag is unbelievable when you need it the most this suks,1,2025-11-19,Bank of Abyssinia,Google Play
i cant belive i could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,2025-11-18,Bank of Abyssinia,Google Play
it is a good app,5,2025-11-18,Bank of Abyssinia,Google Play
it is not working at all,1,2025-11-15,Bank of Abyssinia,Google Play
app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,2025-11-15,Bank of Abyssinia,Google Play
when trying to activate the app it keeps on loading on the security questions page. it has been two days,1,2025-11-13,Bank of Abyssinia,Google Play
fast and simple,5,2025-11-11,Bank of Abyssinia,Google Play
best of best,5,2025-11-10,Bank of Abyssinia,Google Play
worest banking app ever i seen. fake app bad better to leave,1,2025-11-10,Bank of Abyssinia,Google Play
good,4,2025-11-10,Bank of Abyssinia,Google Play
"i would like to share feedback regarding the application. it frequently experiences disruptions and does not function properly, often freezing or failing to load. this issue is affecting workflow and efficiency. kindly review and address this problem to ensure smoother performance.",1,2025-11-08,Bank of Abyssinia,Google Play
meet you genuine.app i tried is not functional.helping.welldoingwith boa ethiopia .fastandrelevant.morconnecting digitalyworld.digitalyworld. thanks.,5,2025-11-08,Bank of Abyssinia,Google Play
best app,5,2025-11-08,Bank of Abyssinia,Google Play
best app,5,2025-11-07,Bank of Abyssinia,Google Play
"barely works, it always fails to connect",1,2025-11-07,Bank of Abyssinia,Google Play
my fav app,5,2025-11-07,Bank of Abyssinia,Google Play
this app launch time is so long also has dozen bugs in addition it s has been long time get update,1,2025-11-05,Bank of Abyssinia,Google Play
very nice,5,2025-11-04,Bank of Abyssinia,Google Play
"your application is very irritating to use, some functionality doesn t even work like on the card management. you need to do better than this and it good idea to reference other banking applications.",3,2025-11-04,Bank of Abyssinia,Google Play
i like,5,2025-11-02,Bank of Abyssinia,Google Play
,1,2025-11-01,Bank of Abyssinia,Google Play
i m sorry but it doesn t work for my android it is too slow but other bank are very fast please update,1,2025-10-30,Bank of Abyssinia,Google Play
"the worst app ever,",1,2025-10-30,Bank of Abyssinia,Google Play
better,5,2025-10-29,Bank of Abyssinia,Google Play
"i kindly request that bank of abyssinia address issues with its mobile app. it is very slow, has numerous problems, and frequently experiences downtime. the user experience is also poor. thank you.",1,2025-10-28,Bank of Abyssinia,Google Play
this app can t open? what is problem? please solve my problem?,1,2025-10-28,Bank of Abyssinia,Google Play
kiyaa makonn,5,2025-10-27,Bank of Abyssinia,Google Play
very very lazy app,1,2025-10-26,Bank of Abyssinia,Google Play
telebirr remittance,5,2025-10-24,Bank of Abyssinia,Google Play
the best bank in,5,2025-10-23,Bank of Abyssinia,Google Play
its good,5,2025-10-22,Bank of Abyssinia,Google Play
the worst app in my financial experience.,1,2025-10-22,Bank of Abyssinia,Google Play
good for mb appliciation,5,2025-10-21,Bank of Abyssinia,Google Play
the worst bank ever. slow don t accept dual sim. they are very stupid and greedy,1,2025-10-20,Bank of Abyssinia,Google Play
try to easy network,4,2025-10-17,Bank of Abyssinia,Google Play
hussen hassen umer,5,2025-10-16,Bank of Abyssinia,Google Play
"the app is not suitable and lacks a good ui design. as a large bank, you must update your app with a professional ui that is fast and appropriate.",2,2025-10-16,Bank of Abyssinia,Google Play
an exceptional banking app.,5,2025-10-16,Bank of Abyssinia,Google Play
alhamdulilah,5,2025-10-11,Bank of Abyssinia,Google Play
poor,5,2025-10-11,Bank of Abyssinia,Google Play
best of best,5,2025-10-09,Bank of Abyssinia,Google Play
from the last week updates the app is not working please check the problems,1,2025-10-08,Bank of Abyssinia,Google Play
it s always crushing,1,2025-10-08,Bank of Abyssinia,Google Play
office branches have to improve their services please,4,2025-10-07,Bank of Abyssinia,Google Play
,5,2025-10-05,Bank of Abyssinia,Google Play
why does it keep crashing? i can t even use this. boa should do better. you have many customers and how to deal with this. i can t send money now.,1,2025-10-05,Bank of Abyssinia,Google Play
it needs a timely update,5,2025-10-03,Bank of Abyssinia,Google Play
"it does not show the name of the person who sent the money to request a receipt. this has become very difficult for us. when different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",3,2025-10-01,Bank of Abyssinia,Google Play
like,5,2025-10-01,Bank of Abyssinia,Google Play
i can t type my otp on it.,1,2025-10-01,Bank of Abyssinia,Google Play
"most of bank apps in ethiopia are linked with ethiopian phone number, i live in us permanently so when i open boa account, i told them where i live and to link it with email address instead of phone as ethio phone number is not working where i live, unfortunetly my fear appeared and now when i change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",1,2025-10-01,Bank of Abyssinia,Google Play
jaajja,4,2025-09-30,Bank of Abyssinia,Google Play
i love this bank the best experience ever.,5,2025-09-28,Bank of Abyssinia,Google Play
"nothing has been improved, it doesn t work like the previous version.",1,2025-09-25,Bank of Abyssinia,Google Play
easy and fast,5,2025-09-24,Bank of Abyssinia,Google Play
great,5,2025-09-20,Bank of Abyssinia,Google Play
mobile banking,5,2025-09-19,Bank of Abyssinia,Google Play
very good,5,2025-09-18,Bank of Abyssinia,Google Play
,5,2025-09-18,Bank of Abyssinia,Google Play
"need alot of connection, chooses device, very lug even when there is connection",1,2025-09-17,Bank of Abyssinia,Google Play
on my ios it s perfect but on android it barley works and don t transfer and after a while it crushed and totally stopped working. please fix the issue my beloved bank of abyssinia.,1,2025-09-15,Bank of Abyssinia,Google Play
since the last update i can open the app crashes a lot and omg its being very slow opening and loading,2,2025-09-15,Bank of Abyssinia,Google Play
none,5,2025-09-14,Bank of Abyssinia,Google Play
good,2,2025-09-13,Bank of Abyssinia,Google Play
good,5,2025-09-12,Bank of Abyssinia,Google Play
very good app i ever used,5,2025-09-12,Bank of Abyssinia,Google Play
its nice app especially the transaction limit is extended but we face that boa m.banking app doesn t respond at the activation stage strictly at smsng mobile phone. please try this to make safe.,4,2025-09-11,Bank of Abyssinia,Google Play
zedo,5,2025-09-11,Bank of Abyssinia,Google Play
please open my mobile app,5,2025-09-10,Bank of Abyssinia,Google Play
it doesn t open,1,2025-09-10,Bank of Abyssinia,Google Play
very good,5,2025-09-09,Bank of Abyssinia,Google Play
masha alla,5,2025-09-08,Bank of Abyssinia,Google Play
best banking transaction application in ethiopia !,5,2025-09-05,Bank of Abyssinia,Google Play
,5,2025-09-04,Bank of Abyssinia,Google Play
tamaam kamal,1,2025-09-04,Bank of Abyssinia,Google Play
,5,2025-09-03,Bank of Abyssinia,Google Play
great,5,2025-09-02,Bank of Abyssinia,Google Play
goof,4,2025-09-01,Bank of Abyssinia,Google Play
absiniya banki,5,2025-08-29,Bank of Abyssinia,Google Play
has issue after installation and i think it doesn t work with tecno common 30,1,2025-08-26,Bank of Abyssinia,Google Play
one of the best in this business,5,2025-08-25,Bank of Abyssinia,Google Play
excellent,5,2025-08-20,Bank of Abyssinia,Google Play
besat,5,2025-08-19,Bank of Abyssinia,Google Play
unlimited experience,5,2025-08-18,Bank of Abyssinia,Google Play
"as bank, u should at least hire someone good at their job bc this a joke nowadays i can t even log in or even transfer without it crashing if u fix the app i will update this review i am counting on u boa update so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",4,2025-08-17,Bank of Abyssinia,Google Play
very nice mobile banking app my favourite,5,2025-08-16,Bank of Abyssinia,Google Play
"it almost never boots up!!! and even if it did, it crashes immediately",1,2025-08-15,Bank of Abyssinia,Google Play
best apps,5,2025-08-15,Bank of Abyssinia,Google Play
the worst app ever to exist in a bank history,1,2025-08-15,Bank of Abyssinia,Google Play
thank you,5,2025-08-14,Bank of Abyssinia,Google Play
best mobile app in the country,5,2025-08-14,Bank of Abyssinia,Google Play
not fast,2,2025-08-12,Bank of Abyssinia,Google Play
keeps freezing at the front page.,1,2025-08-10,Bank of Abyssinia,Google Play
it is not working on redminote 11 pro pls fix it,1,2025-08-08,Bank of Abyssinia,Google Play
abseniya bank app,5,2025-08-08,Bank of Abyssinia,Google Play
good,5,2025-08-05,Bank of Abyssinia,Google Play
yes goode app,5,2025-08-03,Bank of Abyssinia,Google Play
great app,5,2025-08-02,Bank of Abyssinia,Google Play
1 crashes repeatedly 2 takes century to boot 3 repeatedly requires update which is very annoying. 4 it doesn t ask for password for one step confirmation when transferring money. 5 automatically stops music when the app is launched it doesn t really matter just fyi overall this have to be the worst mobile banking app i have tried so far and should not be released with all these bugs issues.,1,2025-08-02,Bank of Abyssinia,Google Play
,1,2025-07-31,Bank of Abyssinia,Google Play
the worst mobile banking app.,1,2025-07-31,Bank of Abyssinia,Google Play
giod,5,2025-07-30,Bank of Abyssinia,Google Play
best bank in ethiopia,5,2025-07-29,Bank of Abyssinia,Google Play
waqayyoo,5,2025-07-28,Bank of Abyssinia,Google Play
please is not working,2,2025-07-27,Bank of Abyssinia,Google Play
nothing when i need to install the apk it say that re up date,5,2025-07-25,Bank of Abyssinia,Google Play
i can log in from any where,5,2025-07-23,Bank of Abyssinia,Google Play
,3,2025-07-21,Bank of Abyssinia,Google Play
no proplem,5,2025-07-20,Bank of Abyssinia,Google Play
,5,2025-07-20,Bank of Abyssinia,Google Play
excellent app,5,2025-07-18,Bank of Abyssinia,Google Play
good work,5,2025-07-15,Bank of Abyssinia,Google Play
,5,2025-07-15,Bank of Abyssinia,Google Play
excellent,5,2025-07-14,Bank of Abyssinia,Google Play
great boa,5,2025-07-14,Bank of Abyssinia,Google Play
good,5,2025-07-14,Bank of Abyssinia,Google Play
okay,4,2025-07-13,Bank of Abyssinia,Google Play
not working,1,2025-07-12,Bank of Abyssinia,Google Play
this app is getting worse and worse with every update,2,2025-07-11,Bank of Abyssinia,Google Play
,1,2025-07-10,Bank of Abyssinia,Google Play
nice,5,2025-07-10,Bank of Abyssinia,Google Play
best app,5,2025-07-08,Bank of Abyssinia,Google Play
meku,5,2025-07-07,Bank of Abyssinia,Google Play
nice,4,2025-07-04,Bank of Abyssinia,Google Play
awasome app go a head,5,2025-07-04,Bank of Abyssinia,Google Play
,5,2025-07-03,Bank of Abyssinia,Google Play
it sucks as hell. it crashes most of the time and takes a long time to load .,1,2025-07-03,Bank of Abyssinia,Google Play
the app is nice and easy to use but after some time it crushed and said error check your device connectivity please fix it,3,2025-07-02,Bank of Abyssinia,Google Play
easy and very nice app to load more than the previouse but in recent time some loading problem detected.,5,2025-07-01,Bank of Abyssinia,Google Play
wow,5,2025-07-01,Bank of Abyssinia,Google Play
"the worst mba i have experienced, the app crush frequently and they take to long to fix the problem even more than a week.",1,2025-06-27,Bank of Abyssinia,Google Play
amazing banks app,3,2025-06-25,Bank of Abyssinia,Google Play
goof,5,2025-06-25,Bank of Abyssinia,Google Play
good app fore me,5,2025-06-25,Bank of Abyssinia,Google Play
very uninterested it s not working when the developer mode on i haven t off the developer options i preferred to uninstall your app .....,1,2025-06-24,Bank of Abyssinia,Google Play
fantastic,5,2025-06-22,Bank of Abyssinia,Google Play
,4,2025-06-21,Bank of Abyssinia,Google Play
it s nice to use.,5,2025-06-21,Bank of Abyssinia,Google Play
app doesn t start,1,2025-06-21,Bank of Abyssinia,Google Play
excellent application,5,2025-06-18,Bank of Abyssinia,Google Play
its very bad app its very slow,1,2025-06-17,Bank of Abyssinia,Google Play
,1,2025-06-15,Bank of Abyssinia,Google Play
good,1,2025-06-15,Bank of Abyssinia,Google Play
good job!,5,2025-06-13,Bank of Abyssinia,Google Play
best financial app.,5,2025-06-12,Bank of Abyssinia,Google Play
,5,2025-06-11,Bank of Abyssinia,Google Play
the worst app humans ever created,1,2025-06-09,Bank of Abyssinia,Google Play
it s not working,3,2025-06-05,Bank of Abyssinia,Google Play
"hello, i m facing a problem with the boa mobile app. every time i enter my phone number and password, the app crashes and shows an error that says boamobile closed because this app has a bug. i tried updating, reinstalling, and clearing cache, but nothing worked. please fix this bug in the next update. i really need access to my account. thank you.",1,2025-06-03,Bank of Abyssinia,Google Play
exceptional,5,2025-06-03,Bank of Abyssinia,Google Play
boa mobile good bank,5,2025-06-02,Bank of Abyssinia,Google Play
this is worest app 24 7 loading,1,2025-06-01,Bank of Abyssinia,Google Play
boa system is confartable,5,2025-06-01,Bank of Abyssinia,Google Play
"this app, for me , is a waste of time. it doesn t work . i can t even long in, and it really piss me off. fix the problem",1,2025-05-27,Bank of Abyssinia,Google Play
good service.,3,2025-05-25,Bank of Abyssinia,Google Play
the app crush frequently,1,2025-05-24,Bank of Abyssinia,Google Play
good,5,2025-05-22,Bank of Abyssinia,Google Play
you guys keeps getting worst,1,2025-05-22,Bank of Abyssinia,Google Play
good,5,2025-05-21,Bank of Abyssinia,Google Play
"this app is a joke. it crashes more than it works, takes forever to load, and half the features are just decorative at this point. can t log in, can t transfer money, can t even check my balance without it bugging out. to the developer are you actually trying to make this work, or is this some kind of social experiment to test our patience? did you build this in your sleep? because it definitely looks like it. if this is your idea of a functional app, maybe consider a different career path",1,2025-05-21,Bank of Abyssinia,Google Play
boa,2,2025-05-20,Bank of Abyssinia,Google Play
good,5,2025-05-20,Bank of Abyssinia,Google Play
but not opening on android,4,2025-05-19,Bank of Abyssinia,Google Play
worst app ever. totally unreliable. and it didn t work at all for the last 4 months.,1,2025-05-18,Bank of Abyssinia,Google Play
amazing,5,2025-05-18,Bank of Abyssinia,Google Play
excellent,5,2025-05-15,Bank of Abyssinia,Google Play
"this app does no work on samsung a51, it just gives a preview of the logo",1,2025-05-11,Bank of Abyssinia,Google Play
nice,5,2025-05-10,Bank of Abyssinia,Google Play
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn t able to solve this issue .",5,2025-05-10,Bank of Abyssinia,Google Play
best app,5,2025-05-09,Bank of Abyssinia,Google Play
liking this application good,5,2025-05-07,Bank of Abyssinia,Google Play
"this app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and otp sent not work",1,2025-05-06,Bank of Abyssinia,Google Play
good,5,2025-05-06,Bank of Abyssinia,Google Play
good,5,2025-05-02,Bank of Abyssinia,Google Play
good,4,2025-04-30,Bank of Abyssinia,Google Play
wow,5,2025-04-28,Bank of Abyssinia,Google Play
it s really good,5,2025-04-23,Bank of Abyssinia,Google Play
bad app . it stuck when you open and noting works.,1,2025-04-23,Bank of Abyssinia,Google Play
"the app isn t working after it asked me the password it starts loading, but it doesn t open",3,2025-04-20,Bank of Abyssinia,Google Play
best,2,2025-04-19,Bank of Abyssinia,Google Play
it keeps showing this pop up to turn off developer options even tho it s off! i had to turn on and then off to make it work! this is a horrible experience and needs a fix asap! plus kinda slow.,1,2025-04-19,Bank of Abyssinia,Google Play
yideg,1,2025-04-18,Bank of Abyssinia,Google Play
great boa,5,2025-04-10,Bank of Abyssinia,Google Play
best,5,2025-04-10,Bank of Abyssinia,Google Play
boa of mobile backing,5,2025-04-09,Bank of Abyssinia,Google Play
nice,5,2025-04-09,Bank of Abyssinia,Google Play
faster bank of abissinya,5,2025-04-08,Bank of Abyssinia,Google Play
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,Bank of Abyssinia,Google Play
it just doesn t work...so frustrating,1,2025-04-07,Bank of Abyssinia,Google Play
like,5,2025-04-06,Bank of Abyssinia,Google Play
it s not work correctly... you must have update it,1,2025-04-06,Bank of Abyssinia,Google Play
"the app gets a considerable improvements like language , qr scanner and unlimited transfers survice. but boa please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,Bank of Abyssinia,Google Play
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,Bank of Abyssinia,Google Play
good but they don t update enough don t add new things,3,2025-04-04,Bank of Abyssinia,Google Play
very good,5,2025-04-03,Bank of Abyssinia,Google Play
thank you,5,2025-04-02,Bank of Abyssinia,Google Play
it doesn t work period z slowest mobile banking ever i would rather use 815,1,2025-04-01,Bank of Abyssinia,Google Play
"after activated the application it not allowed to sign , automatically it is turn off in my phone, why ?",1,2025-03-31,Bank of Abyssinia,Google Play
good application,5,2025-03-30,Bank of Abyssinia,Google Play
this version is not working for me i cannot even buy card. i cannot send money,1,2025-03-30,Bank of Abyssinia,Google Play
"it can t actively on initialization, it says incorrect otp getting the exact otp",1,2025-03-29,Bank of Abyssinia,Google Play
always problematic hardly works,1,2025-03-26,Bank of Abyssinia,Google Play
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25,Bank of Abyssinia,Google Play
best app,5,2025-03-25,Bank of Abyssinia,Google Play
very good,5,2025-03-25,Bank of Abyssinia,Google Play
"worst app and bank ever u be ashamed, scammer",1,2025-03-24,Bank of Abyssinia,Google Play
great boa,5,2025-03-22,Bank of Abyssinia,Google Play
best,5,2025-03-21,Bank of Abyssinia,Google Play
i have went to the bank so many times because i couldn t make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can t make any transaction with it please work in that,1,2025-03-21,Bank of Abyssinia,Google Play
good,5,2025-03-21,Bank of Abyssinia,Google Play
good,5,2025-03-19,Bank of Abyssinia,Google Play
there is no speed,1,2025-03-19,Bank of Abyssinia,Google Play
"for anyone who wants to download it, just don t!!!",1,2025-03-19,Bank of Abyssinia,Google Play
wonderful,5,2025-03-19,Bank of Abyssinia,Google Play
all worck,5,2025-03-19,Bank of Abyssinia,Google Play
loved it,5,2025-03-14,Bank of Abyssinia,Google Play
wow,1,2025-03-14,Bank of Abyssinia,Google Play
"edit new bug, app not letting me type in my otp codes. shameful why does this app not allow me to use it while having developer options on? did y all consider that i might, perhaps, be an actual developer? why am i expected to toggle the option on and off just to bank restarting my phone when i do ? why is the message labled as somthing that will smoothen the experience? this is like the most security consultant thing to implement in an app. please invest in actual security, not this mess.",1,2025-03-12,Bank of Abyssinia,Google Play
improved to be the best,5,2025-03-11,Bank of Abyssinia,Google Play
boa,5,2025-03-11,Bank of Abyssinia,Google Play
"decent, but there problems sometimes it says error when i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can t transfer money to others telebirr acc we only can to our self boe dev fix this !!!",3,2025-03-11,Bank of Abyssinia,Google Play
boa greqt ethiopian bank.,5,2025-03-11,Bank of Abyssinia,Google Play
"the bug is still there,the app crashes every time i try to log in, especially in old phones like my galaxy a32",1,2025-03-10,Bank of Abyssinia,Google Play
almost better compared to cbe where it is not qualified for,4,2025-03-09,Bank of Abyssinia,Google Play
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09,Bank of Abyssinia,Google Play
wonderfull app,5,2025-03-08,Bank of Abyssinia,Google Play
i can t use this app why?,5,2025-03-07,Bank of Abyssinia,Google Play
worst mobile banking app i ever experienced i was blaming other apps but comparing with this they re too much better!!!! it clashes it takes much longer time to login while loading in short it s a complete of trash,1,2025-03-06,Bank of Abyssinia,Google Play
wow,4,2025-03-05,Bank of Abyssinia,Google Play
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as boa make apps like this. it is a disgrace for our country!!,1,2025-03-05,Bank of Abyssinia,Google Play
aga b girja miss language of admin afaan oromo other itoophiyaa languages,1,2025-03-04,Bank of Abyssinia,Google Play
good app,5,2025-03-03,Bank of Abyssinia,Google Play
"i downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03,Bank of Abyssinia,Google Play
it has good features but sometimes it doesn t work...0,1,2025-03-02,Bank of Abyssinia,Google Play
very poor proformance,1,2025-03-01,Bank of Abyssinia,Google Play
it s not opening. really frustrating,1,2025-03-01,Bank of Abyssinia,Google Play
verry amazing app from all ib,5,2025-03-01,Bank of Abyssinia,Google Play
not working on this days,1,2025-02-26,Bank of Abyssinia,Google Play
thank you boa,5,2025-02-23,Bank of Abyssinia,Google Play
best banking app in the wworld,5,2025-02-22,Bank of Abyssinia,Google Play
nice app and it s easy to use,5,2025-02-21,Bank of Abyssinia,Google Play
"please add language in the apps setting amharic afan oromo, tigniya,and others sometimes bank to bank transfer is not available through time and even if if it is available not reachable it is serious issue!",1,2025-02-15,Bank of Abyssinia,Google Play
this is help full i like ittttt,5,2025-02-14,Bank of Abyssinia,Google Play
the is not functional at all?,2,2025-02-12,Bank of Abyssinia,Google Play
best bank,5,2025-02-08,Bank of Abyssinia,Google Play
make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07,Bank of Abyssinia,Google Play
good,5,2025-02-05,Bank of Abyssinia,Google Play
,5,2025-02-04,Bank of Abyssinia,Google Play
i have been using this app for two years.it is amazing.,5,2025-02-01,Bank of Abyssinia,Google Play
good,5,2025-01-31,Bank of Abyssinia,Google Play
sad experience,1,2025-01-30,Bank of Abyssinia,Google Play
always do update and that is annoying,3,2025-01-27,Bank of Abyssinia,Google Play
"best app, somehow waiting a few minutes",5,2025-01-23,Bank of Abyssinia,Google Play
i can t dijitalize my atm in the apollo app on my phone,1,2025-01-22,Bank of Abyssinia,Google Play
whenever i try to sign in app close please fixed it out,2,2025-01-21,Bank of Abyssinia,Google Play
beter,5,2025-01-21,Bank of Abyssinia,Google Play
boa,4,2025-01-18,Bank of Abyssinia,Google Play
it s not app it s very slow ehhhh. why don t you upgrade the app???? it s always zero,1,2025-01-18,Bank of Abyssinia,Google Play
aadan axmed barkhadle,5,2025-01-17,Bank of Abyssinia,Google Play
,1,2025-01-16,Bank of Abyssinia,Google Play
